Nome;Habitantes
Cuiabá;650.912
Várzea Grande;299.472
Rondonópolis;244.897
Sinop;196.067
Sorriso;110.635
Tangará da Serra;106.434
Cáceres;89.478
Primavera do Leste;85.146
Lucas do Rio Verde;83.798
Barra do Garças;69.210
Alta Floresta;58.613
Nova Mutum;55.648
Pontes e Lacerda;52.018
Campo Novo do Parecis;45.899
Juína;45.869
Campo Verde;44.585
Confresa;35.075
Juara;34.906
Peixoto de Azevedo;32.714
Colíder;31.370
Poconé;31.217
Guarantã do Norte;31.024
Barra do Bugres;29.403
Água Boa;29.219
Sapezal;28.944
Jaciara;28.569
Mirassol d'Oeste;26.785
Querência;26.769
Paranatinga;26.423
Canarana;25.843
Colniza;25.756
Aripuanã;24.626
Nova Xavantina;24.345
Poxoréu;23.283
Diamantino;21.941
Matupá;20.091
Menos de 20.000 habitantes;Menos de 20.000 habitantes
Vila Rica;19.888
Chapada dos Guimarães;18.990
Comodoro;18.238
Pedra Preta;18.066
São José dos Quatro Marcos;17.849
Alto Araguaia;17.193
Brasnorte;17.004
Vila Bela da Santíssima Trindade;16.774
Nova Olímpia;16.352
Nobres;15.492
Rosário Oeste;15.453
Campinápolis;15.347
Santo Antônio de Leverger;15.246
São José do Rio Claro;14.911
Araputanga;14.786
Tapurah;14.370
Porto Alegre do Norte;13.865
Nova Bandeirantes;13.635
São Félix do Araguaia;13.612
Alto Garças;13.052
Nossa Senhora do Livramento;12.940
Vera;12.800
Itiquira;12.236
Nova Canaã do Norte;11.707
Paranaíta;11.671
Nova Ubiratã;11.498
Juscimeira;11.480
Marcelândia;11.397
Carlinda;10.332
Cotriguaçu;11.011
Guiratinga;10.963
Alto Taquari;10.904
Terra Nova do Norte;10.616
Arenápolis;10.576
Feliz Natal;10.521
Juruena;10.213
Porto Esperidião;10.204
Ribeirão Cascalheira;9.896
Tabaporã;9.812
Cláudia;9.593
Campos de Júlio;8.822
Gaúcha do Norte;8.646
Apiacás;8.590
Jauru;8.367
Nova Monte Verde;8.313
Alto Paraguai;8.009
Dom Aquino;7.872
Ipiranga do Norte;7.815
Santa Terezinha;7.576
Itanhangá;7.539
Castanheira;7.506
Jangada;7.426
Bom Jesus do Araguaia;7.280
Barão de Melgaço;7.253
Denise;7.014
Boa Esperança do Norte;7.000
Pontal do Araguaia;6.932
Novo São Joaquim;6.919
Nova Lacerda;6.670
Novo Mundo;6.520
Cocalinho;6.220
General Carneiro;6.037
São José do Xingu;5.965
Nortelândia;5.956
Nova Maringá;5.846
Alto Boa Vista;5.639
Porto dos Gaúchos;5.593
Santa Carmem;5.374
Itaúba;5.020
Acorizal;5.014
Curvelândia;4.903
Lambari d'Oeste;4.790
Nova Guarita;4.588
Rio Branco;4.535
Canabrava do Norte;4.485
Nova Santa Helena;4.239
Nova Nazaré;4.200
São Pedro da Cipa;4.191
Torixoréu;4.164
Santo Antônio do Leste;4.099
Nova Brasilândia;3.932
União do Sul;3.838
Araguaiana;3.795
Conquista d'Oeste;3.760
Salto do Céu;3.679
Nova Marilândia;3.529
Rondolândia;3.505
Novo Horizonte do Norte;3.349
Santa Rita do Trivelato;3.276
Porto Estrela;3.224
Figueirópolis d'Oeste;3.187
Planalto da Serra;3.166
Tesouro;3.025
Glória d'Oeste;2.905
Vale de São Domingos;2.904
São José do Povo;2.875
Santa Cruz do Xingu;2.661
Ribeirãozinho;2.593
Santo Afonso;2.519
Luciara;2.509
Indiavaí;2.213
Reserva do Cabaçal;2.122
Novo Santo Antônio;2.015
Ponte Branca;2.008
Serra Nova Dourada;1.800
Araguainha;1.010
